match_id,country_id,league_id,season,date,home_team_api_id,away_team_api_id,home_team_name,away_team_name,winner,goal_difference
1,1,1,2008/2009,2008-08-17 00:00:00,9987,9993,KRC Genk,Beerschot AC,Tie,0
483,1,1,2009/2010,2009-08-30 00:00:00,9987,9993,KRC Genk,Beerschot AC,Tie,0
524,1,1,2010/2011,2010-08-01 00:00:00,9987,9993,KRC Genk,Beerschot AC,Home,1
759,1,1,2011/2012,2011-07-30 00:00:00,9987,9993,KRC Genk,Beerschot AC,Home,2
1014,1,1,2012/2013,2012-10-20 00:00:00,9987,9993,KRC Genk,Beerschot AC,Home,3
30,1,1,2008/2009,2008-11-15 00:00:00,10000,9993,SV Zulte-Waregem,Beerschot AC,Tie,0
324,1,1,2009/2010,2009-10-17 00:00:00,10000,9993,SV Zulte-Waregem,Beerschot AC,Home,4
744,1,1,2010/2011,2010-09-22 00:00:00,10000,9993,SV Zulte-Waregem,Beerschot AC,Home,1
876,1,1,2011/2012,2012-01-25 00:00:00,10000,9993,SV Zulte-Waregem,Beerschot AC,Home,1
1072,1,1,2012/2013,2012-12-01 00:00:00,10000,9993,SV Zulte-Waregem,Beerschot AC,Tie,0
264,1,1,2008/2009,2008-09-20 00:00:00,9984,9993,KSV Cercle Brugge,Beerschot AC,Home,1
498,1,1,2009/2010,2009-09-19 00:00:00,9984,9993,KSV Cercle Brugge,Beerschot AC,Away,1
588,1,1,2010/2011,2010-11-27 00:00:00,9984,9993,KSV Cercle Brugge,Beerschot AC,Tie,0
971,1,1,2011/2012,2011-09-10 00:00:00,9984,9993,KSV Cercle Brugge,Beerschot AC,Home,1
1036,1,1,2012/2013,2012-10-31 00:00:00,9984,9993,KSV Cercle Brugge,Beerschot AC,Home,2
144,1,1,2008/2009,2009-02-21 00:00:00,9991,9993,KAA Gent,Beerschot AC,Away,2
339,1,1,2009/2010,2009-11-01 00:00:00,9991,9993,KAA Gent,Beerschot AC,Away,1
719,1,1,2010/2011,2010-08-29 00:00:00,9991,9993,KAA Gent,Beerschot AC,Home,1
828,1,1,2011/2012,2011-12-10 00:00:00,9991,9993,KAA Gent,Beerschot AC,Away,1
1135,1,1,2012/2013,2013-02-02 00:00:00,9991,9993,KAA Gent,Beerschot AC,Home,1
99,1,1,2008/2009,2009-01-24 00:00:00,7947,9993,FCV Dender EH,Beerschot AC,Away,1
69,1,1,2008/2009,2008-12-12 00:00:00,8203,9993,KV Mechelen,Beerschot AC,Home,1
382,1,1,2009/2010,2010-02-02 00:00:00,8203,9993,KV Mechelen,Beerschot AC,Home,1
546,1,1,2010/2011,2010-10-23 00:00:00,8203,9993,KV Mechelen,Beerschot AC,Home,4
907,1,1,2011/2012,2012-02-18 00:00:00,8203,9993,KV Mechelen,Beerschot AC,Home,1
1210,1,1,2012/2013,2012-09-01 00:00:00,8203,9993,KV Mechelen,Beerschot AC,Away,2
126,1,1,2008/2009,2009-02-07 00:00:00,9999,9993,KSV Roeselare,Beerschot AC,Tie,0
313,1,1,2009/2010,2009-08-01 00:00:00,9999,9993,KSV Roeselare,Beerschot AC,Tie,0
252,1,1,2008/2009,2009-05-16 00:00:00,4049,9993,Tubize,Beerschot AC,Home,1
207,1,1,2008/2009,2008-08-30 00:00:00,10001,9993,KVC Westerlo,Beerschot AC,Home,1
432,1,1,2009/2010,2010-02-06 00:00:00,10001,9993,KVC Westerlo,Beerschot AC,Tie,0
603,1,1,2010/2011,2010-12-11 00:00:00,10001,9993,KVC Westerlo,Beerschot AC,Tie,0
835,1,1,2011/2012,2011-12-17 00:00:00,10001,9993,KVC Westerlo,Beerschot AC,Home,2
46,1,1,2008/2009,2008-11-30 00:00:00,8342,9993,Club Brugge KV,Beerschot AC,Home,3
349,1,1,2009/2010,2009-11-21 00:00:00,8342,9993,Club Brugge KV,Beerschot AC,Away,1
645,1,1,2010/2011,2011-01-29 00:00:00,8342,9993,Club Brugge KV,Beerschot AC,Home,1
885,1,1,2011/2012,2012-02-05 00:00:00,8342,9993,Club Brugge KV,Beerschot AC,Home,4
1189,1,1,2012/2013,2012-08-18 00:00:00,8342,9993,Club Brugge KV,Beerschot AC,Home,2
189,1,1,2008/2009,2009-04-05 00:00:00,9985,9993,Standard de Liège,Beerschot AC,Home,2
